City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
512,Ushtobe,KZ,45.2514,77.9838,84.6,22,98,2.24,overcast clouds
513,Bend,US,44.0582,-121.3153,98.46,18,1,1.99,clear sky
514,Tilichiki,RU,60.4667,166.1,67.66,45,11,3.53,few clouds
515,Santiago Del Estero,AR,-27.7951,-64.2615,50.81,33,100,7.47,overcast clouds
516,Zilupe,LV,56.3862,28.1217,57.24,98,100,4.12,overcast clouds
517,Nara,JP,34.6851,135.8049,76.37,81,100,1.03,light rain
518,Obidos,BR,-1.9175,-55.5181,77.07,73,21,3.65,few clouds
519,Tiarei,PF,-17.5333,-149.3333,77.02,82,54,16.04,light rain
520,Santa Rosa,PH,14.3122,121.1114,87.12,75,100,2.28,overcast clouds
521,Suntar,RU,62.1444,117.6319,77.9,43,0,0.18,clear sky
522,Ostrovnoy,RU,68.0531,39.5131,56.93,82,97,10.76,overcast clouds
523,Jibuti,DJ,11.5,42.5,83.62,57,7,5.06,moderate rain
524,Mercedes,AR,-34.6515,-59.4307,44.83,88,1,4.09,clear sky
525,Aitape,PG,-3.1374,142.3475,83.82,74,100,7.0,overcast clouds
526,Bayburt,TR,40.2589,40.2278,55.09,84,3,1.59,clear sky
527,Rundu,NA,-17.9333,19.7667,54.77,29,0,5.06,clear sky
528,Coruche,PT,38.9595,-8.5252,66.54,97,0,4.56,clear sky
529,Dutlwe,BW,-23.9833,23.9,52.43,47,1,8.12,clear sky
530,La Asuncion,VE,11.0333,-63.8628,82.13,89,56,11.5,broken clouds
531,Krasnoselkup,RU,65.7,82.4667,52.3,62,33,15.37,scattered clouds
532,Chuchkovo,RU,54.2693,41.4465,73.31,50,100,11.14,light rain
533,Grindavik,IS,63.8424,-22.4338,53.55,93,90,4.61,overcast clouds
534,Cedral,MX,23.8,-100.7333,70.41,57,87,14.29,overcast clouds
535,Ankazoabo,MG,-22.2833,44.5167,58.24,76,0,3.58,clear sky
536,Tetouan,MA,35.5711,-5.3724,72.39,94,44,2.3,mist
537,Cap Malheureux,MU,-19.9842,57.6142,72.09,84,10,5.01,light rain
538,Candido Mendes,BR,-1.4467,-45.7167,74.59,97,97,3.76,overcast clouds
539,Klyuchevskiy,RU,53.5317,119.4519,65.48,61,97,3.67,overcast clouds
540,Nikki,BJ,9.9401,3.2108,70.81,95,100,4.7,overcast clouds
541,Moree,AU,-29.4667,149.85,71.62,56,40,10.36,scattered clouds
542,Rassvet,RU,46.8333,40.75,70.75,94,61,3.85,light rain
543,Hamilton,US,39.1834,-84.5333,85.08,76,1,9.22,clear sky
544,Springdale,US,36.1867,-94.1288,85.57,61,1,6.91,clear sky
545,Alta Floresta,BR,-9.8756,-56.0861,73.49,37,1,3.33,clear sky
546,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,88,20,13.33,few clouds
547,Toora-Khem,RU,52.4675,96.11,68.16,59,100,4.41,overcast clouds
548,Coahuayana,MX,18.7333,-103.6833,78.28,87,76,1.95,broken clouds
549,Sao Pedro Do Sul,BR,-29.6206,-54.1789,39.85,76,0,4.85,clear sky
550,Galesong,ID,-5.3166,119.3661,89.62,62,40,1.54,scattered clouds
551,Muisne,EC,0.6,-80.0333,74.37,83,100,9.62,overcast clouds
552,Chittaurgarh,IN,24.8833,74.6333,78.89,75,12,12.3,few clouds
553,Dafeng,CN,23.4517,108.5881,88.02,70,100,7.29,overcast clouds
554,Adrar,MR,20.5022,-10.0711,92.79,18,90,12.8,overcast clouds
555,Khromtau,KZ,50.2503,58.4347,58.6,63,9,14.67,clear sky
556,Puerto Escondido,MX,15.85,-97.0667,83.23,65,40,6.91,scattered clouds
557,Libreville,GA,0.3925,9.4537,77.02,88,40,6.91,scattered clouds
558,Santa Margherita Ligure,IT,44.3346,9.212,80.73,65,0,1.99,clear sky
559,Uarini,BR,-2.99,-65.1083,78.64,67,86,2.48,overcast clouds
560,Mana,GF,5.6592,-53.7767,76.66,90,100,5.53,overcast clouds
561,Soledar,UA,48.6794,38.089,68.9,59,96,6.6,overcast clouds
562,San Patricio,US,28.017,-97.5169,86.09,71,0,12.08,clear sky
563,Verkhovazhye,RU,60.7472,42.0465,63.05,99,100,3.36,light rain
564,Portel,BR,-1.9356,-50.8211,73.98,97,89,5.28,heavy intensity rain
565,Krasnogorskiy,RU,54.6025,61.231,55.6,63,17,12.21,few clouds
566,Kruisfontein,ZA,-34.0033,24.7314,47.88,81,28,12.68,moderate rain
567,Garissa,KE,-0.4536,39.6401,72.3,73,80,12.71,broken clouds
568,Atlantic City,US,39.3643,-74.4229,80.78,85,1,4.61,clear sky
569,Weligama,LK,5.9667,80.4167,80.13,82,100,14.61,overcast clouds
570,Port Macquarie,AU,-31.4333,152.9167,67.96,48,47,4.25,scattered clouds
571,Malakal,SS,9.5334,31.6605,70.21,97,100,2.1,overcast clouds
572,Muli,MV,2.9167,73.5667,83.19,74,100,15.14,overcast clouds
573,Canton,CN,23.1167,113.25,91.35,60,98,5.66,light rain
574,Pangoa,PE,-12.1167,-73.0,69.85,70,14,2.91,few clouds
575,Tiznit,MA,29.5833,-9.5,65.93,69,3,0.58,clear sky
576,Nabire,ID,-3.3667,135.4833,84.0,72,94,1.59,overcast clouds
577,Kiunga,PG,-6.1219,141.2906,81.36,86,64,4.23,broken clouds
578,Bayeux,BR,-7.125,-34.9322,74.03,100,90,5.75,overcast clouds
579,Marau,BR,-28.4492,-52.2,39.34,95,1,5.53,clear sky
580,Timiryazevskiy,RU,56.49,84.8769,63.55,96,99,3.53,overcast clouds
581,Grand Baie,MU,-20.0182,57.5802,72.07,84,13,5.01,light rain
582,Wanning,CN,18.8003,110.3967,89.24,69,98,9.84,overcast clouds
